TIME 	 VAUXP[1] 	 VAUXN[1] 
82989787 0.5 0
82991867 0.5 0
82993947 0.5 0
82996027 0.5 0
82998107 0.5 0
83000187 0.5 0
83002267 0.5 0
83004347 0.5 0
83006427 0.5 0
83008507 0.5 0
83010587 0.5 0
83012667 0.5 0
83014747 0.5 0
83016827 0.5 0
83018907 0.5 0
83020987 0.5 0
83023067 0.5 0
83025147 0.5 0
83027227 0.5 0
83029307 0.5 0
83031387 0.5 0
83033467 0.5 0
83035547 0.5 0
83037627 0.5 0
83039707 0.5 0
83041787 0.5 0
83043867 0.5 0
83045947 0.5 0
83048027 0.5 0
83050107 0.5 0
83052187 0.5 0
83054267 0.5 0
83056347 0.5 0
83058427 0.5 0
83060507 0.5 0
83062587 0.5 0
83064667 0.5 0
83066747 0.5 0
83068827 0.5 0
83070907 0.5 0
83072987 0.5 0
83075067 0.5 0
83077147 0.5 0
83079227 0.5 0
83081307 0.5 0
83083387 0.5 0
83085467 0.5 0
83087547 0.5 0
83089627 0.5 0
83091707 0.5 0
83093787 0.5 0
83095867 0.5 0
83097947 0.5 0
83100027 0.5 0
83102107 0.5 0
83104187 0.5 0
83106267 0.5 0
83108347 0.5 0
83110427 0.5 0
83112507 0.5 0
83114587 0.5 0
83116667 0.5 0
83118747 0.5 0
83120827 0.5 0
83122907 0.5 0
83124987 0.5 0
83127066 0.5 0
83129146 0.5 0
83131226 0.5 0
83133306 0.5 0
83135386 0.5 0
83137466 0.5 0
83139546 0.5 0
83141626 0.5 0
83143706 0.5 0
83145786 0.5 0
83147866 0.5 0
83149946 0.5 0
83152026 0.5 0
83154106 0.5 0
83156186 0.5 0
83158266 0.5 0
83160346 0.5 0
83162426 0.5 0
83164506 0.5 0
83166586 0.5 0
83168666 0.5 0
83170746 0.5 0
83172826 0.5 0
83174906 0.5 0
83176986 0.5 0
83179066 0.5 0
83181146 0.5 0
83183226 0.5 0
83185306 0.5 0
83187386 0.5 0
83189466 0.5 0
83191546 0.5 0
83193626 0.5 0
83195706 0.5 0
83197786 0.5 0
83199866 0.5 0
83201946 0.5 0
83204026 0.5 0
83206106 0.5 0
83208186 0.5 0
83210266 0.5 0
83212346 0.5 0
83214426 0.5 0
83216506 0.5 0
83218586 0.5 0
83220666 0.5 0
83222746 0.5 0
83224826 0.5 0
83226906 0.5 0
83228986 0.5 0
83231066 0.5 0
83233146 0.5 0
83235226 0.5 0
83237306 0.5 0
83239386 0.5 0
83241466 0.5 0
83243546 0.5 0
83245626 0.5 0
83247706 0.5 0
83249786 0.5 0
83251866 0.5 0
83253946 0.5 0
83256026 0.5 0
83258106 0.5 0
83260186 0.5 0
83262266 0.5 0
83264346 0.5 0
83266426 0.5 0
83268506 0.5 0
83270586 0.5 0
83272666 0.5 0
83274746 0.5 0
83276826 0.5 0
83278906 0.5 0
83280986 0.5 0
83283066 0.5 0
83285146 0.5 0
83287226 0.5 0
83289306 0.5 0
83291386 0.5 0
83293466 0.5 0
83295546 0.5 0
83297626 0.5 0
83299706 0.5 0
83301786 0.5 0
83303866 0.5 0
83305946 0.5 0
83308026 0.5 0
83310106 0.5 0
83312186 0.5 0
83314266 0.5 0
83316346 0.5 0
83318426 0.5 0
83320506 0.5 0
83322586 0.5 0
83324666 0.5 0
83326746 0.5 0
83328826 0.5 0
83330906 0.5 0
83332986 0.5 0
83335066 0.5 0
83337146 0.5 0
83339226 0.5 0
83341306 0.5 0
83343386 0.5 0
83345466 0.5 0
83347546 0.5 0
83349626 0.5 0
83351706 0.5 0
